z,N1,N3,N5,N7,N9,N11,N13,N15,N17,N19,N21
0.53906,1.8291,1.5377,1.5665,1.5741,1.5773,1.5788,1.5797,1.5802,1.5805,1.5807,1.5809
0.54063,1.8283,1.5371,1.566,1.5736,1.5767,1.5783,1.5792,1.5797,1.58,1.5802,1.5804
0.54219,1.8276,1.5366,1.5654,1.5731,1.5762,1.5778,1.5787,1.5792,1.5796,1.5798,1.5799
0.54375,1.8268,1.536,1.5649,1.5726,1.5757,1.5773,1.5782,1.5787,1.5791,1.5793,1.5794
0.54531,1.826,1.5354,1.5643,1.572,1.5752,1.5768,1.5777,1.5783,1.5786,1.5788,1.579
0.54688,1.8252,1.5348,1.5638,1.5715,1.5747,1.5763,1.5772,1.5778,1.5781,1.5784,1.5785
0.54844,1.8244,1.5343,1.5633,1.571,1.5742,1.5758,1.5767,1.5773,1.5776,1.5779,1.578
0.55,1.8236,1.5337,1.5627,1.5705,1.5737,1.5753,1.5762,1.5768,1.5772,1.5774,1.5776
0.55156,1.8228,1.5331,1.5622,1.5699,1.5732,1.5748,1.5757,1.5763,1.5767,1.5769,1.5771
0.55312,1.8221,1.5325,1.5617,1.5694,1.5726,1.5743,1.5752,1.5758,1.5762,1.5765,1.5766
0.55469,1.8213,1.532,1.5611,1.5689,1.5721,1.5738,1.5748,1.5753,1.5757,1.576,1.5762
0.55625,1.8205,1.5314,1.5606,1.5684,1.5716,1.5733,1.5743,1.5749,1.5753,1.5755,1.5757
0.55781,1.8198,1.5308,1.5601,1.5679,1.5711,1.5728,1.5738,1.5744,1.5748,1.5751,1.5753
0.55937,1.819,1.5303,1.5596,1.5674,1.5706,1.5723,1.5733,1.5739,1.5743,1.5746,1.5748
0.56094,1.8182,1.5297,1.559,1.5668,1.5701,1.5718,1.5728,1.5734,1.5738,1.5741,1.5743
0.5625,1.8175,1.5292,1.5585,1.5663,1.5696,1.5713,1.5723,1.5729,1.5734,1.5737,1.5739
0.56406,1.8167,1.5286,1.558,1.5658,1.5691,1.5708,1.5718,1.5725,1.5729,1.5732,1.5734
0.56563,1.816,1.528,1.5575,1.5653,1.5686,1.5703,1.5713,1.572,1.5724,1.5727,1.573
0.56719,1.8152,1.5275,1.5569,1.5648,1.5681,1.5698,1.5709,1.5715,1.572,1.5723,1.5725
0.56875,1.8145,1.5269,1.5564,1.5643,1.5676,1.5693,1.5704,1.571,1.5715,1.5718,1.572
0.57031,1.8137,1.5264,1.5559,1.5638,1.5671,1.5689,1.5699,1.5706,1.571,1.5713,1.5716
0.57188,1.813,1.5258,1.5554,1.5633,1.5666,1.5684,1.5694,1.5701,1.5705,1.5709,1.5711
0.57344,1.8123,1.5253,1.5549,1.5628,1.5661,1.5679,1.5689,1.5696,1.5701,1.5704,1.5707
0.575,1.8115,1.5247,1.5543,1.5623,1.5656,1.5674,1.5684,1.5691,1.5696,1.57,1.5702
0.57656,1.8108,1.5242,1.5538,1.5618,1.5651,1.5669,1.568,1.5687,1.5691,1.5695,1.5698
0.57812,1.8101,1.5237,1.5533,1.5613,1.5646,1.5664,1.5675,1.5682,1.5687,1.569,1.5693
0.57969,1.8093,1.5231,1.5528,1.5608,1.5641,1.5659,1.567,1.5677,1.5682,1.5686,1.5688
0.58125,1.8086,1.5226,1.5523,1.5603,1.5636,1.5654,1.5665,1.5672,1.5677,1.5681,1.5684
0.58281,1.8079,1.522,1.5518,1.5598,1.5632,1.565,1.5661,1.5668,1.5673,1.5677,1.5679
0.58437,1.8072,1.5215,1.5513,1.5593,1.5627,1.5645,1.5656,1.5663,1.5668,1.5672,1.5675
0.58594,1.8065,1.521,1.5508,1.5588,1.5622,1.564,1.5651,1.5658,1.5664,1.5667,1.567
0.5875,1.8057,1.5204,1.5503,1.5583,1.5617,1.5635,1.5646,1.5654,1.5659,1.5663,1.5666
0.58906,1.805,1.5199,1.5497,1.5578,1.5612,1.563,1.5641,1.5649,1.5654,1.5658,1.5661
0.59062,1.8043,1.5193,1.5492,1.5573,1.5607,1.5625,1.5637,1.5644,1.565,1.5654,1.5657
0.59219,1.8036,1.5188,1.5487,1.5568,1.5602,1.5621,1.5632,1.564,1.5645,1.5649,1.5652
0.59375,1.8029,1.5183,1.5482,1.5563,1.5597,1.5616,1.5627,1.5635,1.564,1.5644,1.5648
0.59531,1.8022,1.5178,1.5477,1.5558,1.5592,1.5611,1.5622,1.563,1.5636,1.564,1.5643
0.59688,1.8015,1.5172,1.5472,1.5553,1.5588,1.5606,1.5618,1.5625,1.5631,1.5635,1.5639
0.59844,1.8008,1.5167,1.5467,1.5548,1.5583,1.5601,1.5613,1.5621,1.5626,1.5631,1.5634
0.6,1.8001,1.5162,1.5462,1.5543,1.5578,1.5597,1.5608,1.5616,1.5622,1.5626,1.563
0.60156,1.7994,1.5157,1.5457,1.5538,1.5573,1.5592,1.5603,1.5611,1.5617,1.5622,1.5625
0.60313,1.7987,1.5151,1.5452,1.5533,1.5568,1.5587,1.5599,1.5607,1.5613,1.5617,1.562
0.60469,1.7981,1.5146,1.5447,1.5529,1.5563,1.5582,1.5594,1.5602,1.5608,1.5613,1.5616
0.60625,1.7974,1.5141,1.5442,1.5524,1.5558,1.5577,1.5589,1.5597,1.5603,1.5608,1.5611
0.60781,1.7967,1.5136,1.5437,1.5519,1.5554,1.5573,1.5585,1.5593,1.5599,1.5603,1.5607
0.60938,1.796,1.513,1.5433,1.5514,1.5549,1.5568,1.558,1.5588,1.5594,1.5599,1.5602
0.61094,1.7953,1.5125,1.5428,1.5509,1.5544,1.5563,1.5575,1.5583,1.559,1.5594,1.5598
0.6125,1.7947,1.512,1.5423,1.5504,1.5539,1.5558,1.557,1.5579,1.5585,1.559,1.5593
0.61406,1.794,1.5115,1.5418,1.5499,1.5534,1.5554,1.5566,1.5574,1.558,1.5585,1.5589
0.61562,1.7933,1.511,1.5413,1.5495,1.553,1.5549,1.5561,1.557,1.5576,1.5581,1.5584
0.61719,1.7926,1.5105,1.5408,1.549,1.5525,1.5544,1.5556,1.5565,1.5571,1.5576,1.558
0.61875,1.792,1.51,1.5403,1.5485,1.552,1.5539,1.5552,1.556,1.5567,1.5572,1.5575
0.62031,1.7913,1.5095,1.5398,1.548,1.5515,1.5535,1.5547,1.5556,1.5562,1.5567,1.5571
0.62187,1.7907,1.5089,1.5393,1.5475,1.551,1.553,1.5542,1.5551,1.5557,1.5562,1.5566
0.62344,1.79,1.5084,1.5388,1.547,1.5506,1.5525,1.5538,1.5546,1.5553,1.5558,1.5562
0.625,1.7893,1.5079,1.5384,1.5466,1.5501,1.552,1.5533,1.5542,1.5548,1.5553,1.5557
0.62656,1.7887,1.5074,1.5379,1.5461,1.5496,1.5516,1.5528,1.5537,1.5544,1.5549,1.5553
0.62813,1.788,1.5069,1.5374,1.5456,1.5491,1.5511,1.5524,1.5532,1.5539,1.5544,1.5548
0.62969,1.7874,1.5064,1.5369,1.5451,1.5487,1.5506,1.5519,1.5528,1.5534,1.554,1.5544
0.63125,1.7867,1.5059,1.5364,1.5446,1.5482,1.5501,1.5514,1.5523,1.553,1.5535,1.5539
0.63281,1.7861,1.5054,1.5359,1.5442,1.5477,1.5497,1.5509,1.5518,1.5525,1.5531,1.5535
0.63438,1.7854,1.5049,1.5355,1.5437,1.5472,1.5492,1.5505,1.5514,1.5521,1.5526,1.553
0.63594,1.7848,1.5044,1.535,1.5432,1.5468,1.5487,1.55,1.5509,1.5516,1.5521,1.5526
0.6375,1.7842,1.5039,1.5345,1.5427,1.5463,1.5483,1.5495,1.5505,1.5511,1.5517,1.5521
0.63906,1.7835,1.5034,1.534,1.5423,1.5458,1.5478,1.5491,1.55,1.5507,1.5512,1.5517
0.64062,1.7829,1.5029,1.5335,1.5418,1.5453,1.5473,1.5486,1.5495,1.5502,1.5508,1.5512
0.64219,1.7822,1.5024,1.5331,1.5413,1.5449,1.5468,1.5481,1.5491,1.5498,1.5503,1.5508
